n;best;avg;worst
10000;1.4e-05;0.000328;0.001561
15000;1.8e-05;0.000603;0.002612
20000;4e-05;0.000597;0.0059
25000;3e-05;0.000664;0.00539
30000;5.1e-05;0.000777;0.005316
35000;4.5e-05;0.00091;0.006855
40000;5.1e-05;0.001073;0.008064
45000;5.7e-05;0.001234;0.009107000000000001
50000;0.000133;0.0015;0.018425
55000;7e-05;0.001416;0.0113
60000;7.6e-05;0.001668;0.01205
65000;8.2e-05;0.001701;0.014325
70000;8.9e-05;0.001968;0.016413
75000;9.6e-05;0.002097;0.017542
80000;0.000135;0.002115;0.019178
85000;0.000126;0.002579;0.023408
90000;0.000115;0.002634;0.023164
95000;0.000126;0.002556;0.023337
100000;0.00013;0.002898;0.026173
105000;0.000134;0.002745;0.026588
110000;0.000146;0.003027;0.028145
115000;0.00016;0.003156;0.03419
120000;0.000162;0.003166;0.032695
125000;0.000277;0.003268;0.044068
130000;0.000168;0.003477;0.034084
135000;0.00018;0.003688;0.040273
140000;0.000261;0.003748;0.036353
145000;0.000186;0.003808;0.036929
