n;best;avg;worst
10000;9.7e-05;0.000557;0.007438
15000;0.000148;0.000859;0.017867
20000;0.000216;0.001151;0.030893
25000;0.000272;0.001426;0.047573
30000;0.0003;0.001693;0.066771
35000;0.000358;0.001978;0.089302
40000;0.000404;0.002186;0.114648
45000;0.000441;0.002485;0.142289
50000;0.000525;0.002794;0.180212
55000;0.000532;0.003166;0.218874
60000;0.000573;0.003442;0.250749
65000;0.000616;0.003759;0.293718
70000;0.000706;0.004006;0.349535
75000;0.0008;0.004767;0.443745
80000;0.000889;0.004658;0.495175
85000;0.00087;0.004845;0.51713
90000;0.000903;0.005148;0.570495
95000;0.000988;0.006328;0.704007
100000;0.001218;0.006545;0.77672
105000;0.001228;0.006182;0.822532
110000;0.001127;0.006354;0.869182
115000;0.001149;0.006851;0.996607
120000;0.001223;0.007524;1.277705
125000;0.001348;0.007804;1.211197
130000;0.00142;0.008214;1.367819
135000;0.001481;0.00931;1.543493
140000;0.001688;0.008254;1.495713
145000;0.001467;0.008835;1.50378
