n;best;avg;worst
10000;0.000499;0.00065;0.0006579999999999999
15000;0.000776;0.000773;0.001157
20000;0.001291;0.001149;0.001719
25000;0.002065;0.001777;0.002137
30000;0.001865;0.001802;0.002083
35000;0.002051;0.001854;0.002473
40000;0.002492;0.002426;0.003271
45000;0.002715;0.002517;0.003352
50000;0.002716;0.00291;0.003822
55000;0.002828;0.003021;0.004132
60000;0.003129;0.003146;0.004159
65000;0.003375;0.003346;0.004449
70000;0.003808;0.003649;0.004811
75000;0.004035;0.003841;0.005219
80000;0.004094;0.004109;0.005332
85000;0.0045;0.004813;0.006067
90000;0.005035;0.004826;0.006778
95000;0.005408;0.005329;0.006832
100000;0.005528;0.005331;0.007889999999999999
105000;0.005734;0.005686;0.007766
110000;0.006349;0.005984;0.007846000000000001
115000;0.005889;0.005929;0.007908999999999999
120000;0.006103;0.006205;0.008475999999999999
125000;0.006367;0.006393;0.008663000000000001
130000;0.00741;0.006609;0.009775000000000001
135000;0.007336;0.007581;0.00984
140000;0.007416;0.007096;0.009813000000000001
145000;0.007798;0.008272;0.010219
